age_band,,18-24,18-24,25-34,25-34,35-44,35-44,45-54,45-54,55-64,55-64,65+,65+,INVALID,INVALID
sex,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE
caw,polling_station,,,,,,,,,,,,,,
NGONG,ACK PRI SCH,7,13,289,308,381,408,249,282,148,166,67,78,0,0
NGONG,AIC PRI .SCH,23,22,442,455,584,439,358,323,157,190,212,145,1,0
NGONG,JUA KALI SHEDS,10,13,322,433,472,541,252,327,144,179,78,96,1,2
NGONG,NGONG TOWNSHIP PRI.SCH,33,30,415,506,543,618,306,446,150,268,113,178,0,0
NGONG,PCEA ENCHORRO EMUNY PRI .SCH,53,58,1116,1134,1790,1646,1088,1039,493,434,286,292,3,1
NGONG,PCEA NGONG HILLS SEC -NEW,12,18,145,195,145,176,87,119,50,72,18,45,0,0
NKAIMURUNYA,MOSOI RANGE CHIEF'S CAMP,10,16,454,380,938,817,542,539,214,206,127,111,0,0
NKAIMURUNYA,NAKEEL PRI.SCH,30,33,1214,1281,1971,1919,968,1129,366,513,262,301,0,0
NKAIMURUNYA,NKAI-MURUNYA MIXED DAY SEC-NEW,14,20,313,378,516,594,289,373,152,189,94,81,1,0
NKAIMURUNYA,NKAI-MURUNYA PRI.SCH,34,44,411,634,556,755,287,467,119,248,97,124,1,0
NKAIMURUNYA,ONG ATA RONGAI PRI.SCH,6,8,377,359,577,562,256,412,115,194,114,128,1,1
NKAIMURUNYA,ONGATA ACADEMY-NEW,36,29,1009,958,1820,1491,1196,968,491,497,234,235,0,1
OLKERI,ARAP MOI PRI .SCH,27,31,847,995,1242,1275,899,945,516,598,373,397,0,0
OLKERI,DELIVERANCE CHURCH - KANDISI,11,9,166,184,234,272,188,188,115,118,106,116,0,0
OLKERI,ESILANKE WATER PROJECT,8,7,126,165,276,234,196,182,112,118,123,143,0,0
OLKERI,KISERIAN PRI.SCH,21,21,260,272,279,292,156,176,80,130,47,58,0,0
OLKERI,LEMELEPO WATER PROJECT,15,21,634,564,907,890,615,720,364,465,213,276,0,0
OLKERI,LOWER MATASIA PRI.SCH,18,24,561,637,876,805,573,547,289,334,223,228,0,0
OLKERI,MERISHO AP CAMP-NEW,5,3,134,131,157,149,117,105,75,74,105,80,0,0
OLKERI,NALEPO NUR SCH,1,1,34,42,43,35,26,25,24,17,21,18,0,0
OLKERI,OLKERI PRI.SCH,7,14,162,227,246,289,204,190,139,142,171,153,1,0
OLKERI,OLOOSURUTIA ACK CHURCH,5,5,139,133,187,191,148,125,104,90,85,79,0,0
OLKERI,PCEA LEKURUKI,3,3,92,100,80,99,67,89,47,55,63,55,0,0
OLKERI,ST. MARKS? KISERIAN MIXED DAY SECONDARY SCHOOL,7,5,89,126,193,181,128,102,48,56,28,22,0,0
OLKERI,UPPER MATASIA PRI. SC,6,5,77,107,143,131,121,111,67,77,92,83,0,0
OLOOLUA,BULBUL PRI.SCH,66,58,1060,1198,1364,1423,768,970,329,521,308,355,1,0
OLOOLUA,KERERAPON PRI.SCH,11,18,244,295,325,407,224,272,121,144,113,124,0,0
OLOOLUA,OLEPOLOS NUR SCH,20,37,542,535,766,722,410,461,219,237,205,198,1,0
OLOOLUA,OLOOLUA PRI.SCH,30,39,570,612,704,745,462,482,285,345,215,249,0,0
ONGATA RONGAI,ENDOMOTO CHIEF'S CAMP,6,7,336,337,627,650,318,461,133,187,97,141,0,0
ONGATA RONGAI,LAISER CHIEF'S CAMP,6,3,76,98,92,87,63,68,56,59,30,38,0,0
ONGATA RONGAI,OLEKASASI PRI.SCH,31,27,434,540,533,578,334,350,176,227,100,153,0,0
ONGATA RONGAI,ONG ATA RONGAI OPEN AIR MARKET,106,108,2052,2199,3581,3635,1739,2084,674,877,439,566,2,3
ONGATA RONGAI,SCHEME SIX CHIEF CAMP,12,9,238,230,309,355,216,252,123,138,72,98,0,0
