caw,polling_station,total_records,unique_ids,missing_id,valid_age,underage,unlikely_age,missing_age
ONGATA RONGAI,ONG ATA RONGAI OPEN AIR MARKET,18065,18065,0,18060,0,5,0
NKAIMURUNYA,NAKEEL PRI.SCH,9987,9987,0,9987,0,0,0
NGONG,PCEA ENCHORRO EMUNY PRI .SCH,9433,9431,0,9429,0,4,0
NKAIMURUNYA,ONGATA ACADEMY-NEW,8965,8962,0,8964,0,1,0
OLOOLUA,BULBUL PRI.SCH,8421,8419,0,8420,0,1,0
OLKERI,ARAP MOI PRI .SCH,8145,8142,0,8145,0,0,0
OLKERI,LEMELEPO WATER PROJECT,5684,5682,0,5684,0,0,0
OLKERI,LOWER MATASIA PRI.SCH,5115,5115,0,5115,0,0,0
OLOOLUA,OLOOLUA PRI.SCH,4738,4738,0,4738,0,0,0
NKAIMURUNYA,MOSOI RANGE CHIEF'S CAMP,4354,4353,0,4354,0,0,0
OLOOLUA,OLEPOLOS NUR SCH,4353,4353,0,4352,0,1,0
NKAIMURUNYA,NKAI-MURUNYA PRI.SCH,3777,3776,0,3776,0,1,0
NGONG,NGONG TOWNSHIP PRI.SCH,3606,3606,0,3606,0,0,0
ONGATA RONGAI,OLEKASASI PRI.SCH,3483,3483,0,3483,0,0,0
NGONG,AIC PRI .SCH,3351,3351,0,3350,0,1,0
ONGATA RONGAI,ENDOMOTO CHIEF'S CAMP,3300,3300,0,3300,0,0,0
NKAIMURUNYA,ONG ATA RONGAI PRI.SCH,3110,3110,0,3108,0,2,0
NKAIMURUNYA,NKAI-MURUNYA MIXED DAY SEC-NEW,3014,3014,0,3013,0,1,0
NGONG,JUA KALI SHEDS,2870,2869,0,2867,0,3,0
NGONG,ACK PRI SCH,2396,2395,0,2396,0,0,0
OLOOLUA,KERERAPON PRI.SCH,2298,2298,0,2298,0,0,0
ONGATA RONGAI,SCHEME SIX CHIEF CAMP,2052,2051,0,2052,0,0,0
OLKERI,OLKERI PRI.SCH,1945,1945,0,1944,0,1,0
OLKERI,KISERIAN PRI.SCH,1792,1792,0,1792,0,0,0
OLKERI,DELIVERANCE CHURCH - KANDISI,1707,1705,0,1707,0,0,0
OLKERI,ESILANKE WATER PROJECT,1690,1689,0,1690,0,0,0
OLKERI,OLOOSURUTIA ACK CHURCH,1291,1291,0,1291,0,0,0
OLKERI,MERISHO AP CAMP-NEW,1135,1135,0,1135,0,0,0
NGONG,PCEA NGONG HILLS SEC -NEW,1082,1081,0,1082,0,0,0
OLKERI,UPPER MATASIA PRI. SC,1020,1020,0,1020,0,0,0
OLKERI,ST. MARKS? KISERIAN MIXED DAY SECONDARY SCHOOL,985,985,0,985,0,0,0
OLKERI,PCEA LEKURUKI,753,753,0,753,0,0,0
ONGATA RONGAI,LAISER CHIEF'S CAMP,676,676,0,676,0,0,0
OLKERI,NALEPO NUR SCH,287,287,0,287,0,0,0
